iter	Passed	Remaining
0	140	140362
1	302	150710
2	438	145769
3	574	143138
4	711	141614
5	848	140621
6	985	139809
7	1121	139089
8	1259	138630
9	1397	138365
10	1537	138238
11	1642	135247
12	1781	135280
13	1919	135181
14	2056	135021
15	2193	134913
16	2335	135029
17	2473	134936
18	2611	134855
19	2750	134755
20	2888	134642
21	3025	134502
22	3165	134456
23	3307	134493
24	3446	134413
25	3589	134464
26	3730	134420
27	3873	134450
28	4015	134441
29	4154	134322
30	4296	134286
31	4438	134277
32	4593	134602
33	4735	134532
34	4877	134468
35	5020	134438
36	5161	134336
37	5306	134332
38	5450	134308
39	5592	134222
40	5735	134159
41	5879	134112
42	6021	134023
43	6168	134021
44	6311	133939
45	6452	133823
46	6595	133729
47	6742	133719
48	6885	133628
49	7033	133636
50	7173	133477
51	7318	133429
52	7465	133385
53	7612	133356
54	7761	133349
55	7907	133299
56	8053	133244
57	8199	133163
58	8344	133092
59	8488	132983
60	8638	132974
61	8784	132905
62	8928	132789
63	9081	132818
64	9260	133211
65	9413	133211
66	9560	133136
67	9712	133112
68	9865	133113
69	10021	133139
70	10163	132985
71	10321	133027
72	10470	132963
73	10621	132910
74	10776	132908
75	10924	132821
76	11080	132823
77	11230	132748
78	11381	132691
79	11530	132604
80	11684	132568
81	11831	132455
82	11975	132305
83	12126	132235
84	12272	132105
85	12417	131976
86	12567	131888
87	12711	131737
88	12861	131644
89	13019	131638
90	13162	131482
91	13321	131472
92	13476	131427
93	13625	131326
94	13771	131190
95	13919	131079
96	14075	131030
97	14223	130917
98	14379	130868
99	14541	130871
100	14697	130820
101	14853	130769
102	15019	130803
103	15182	130802
104	15343	130785
105	15503	130753
106	15660	130696
107	15821	130675
108	15971	130556
109	16147	130651
110	16300	130552
111	16456	130473
112	16611	130391
113	16780	130414
114	16941	130378
115	17100	130321
116	17260	130262
117	17404	130091
118	17565	130040
119	17725	129983
120	17871	129829
121	18039	129826
122	18191	129708
123	18353	129660
124	18513	129597
125	18667	129489
126	18813	129324
127	18970	129233
128	19234	129871
129	19396	129805
130	19559	129750
131	19708	129601
132	19862	129480
133	20005	129291
134	20172	129255
135	20322	129105
136	20473	128966
137	20629	128861
138	20780	128720
139	20960	128760
140	21118	128659
141	21272	128532
142	21422	128384
143	21570	128226
144	21722	128087
145	21873	127945
146	22018	127769
147	22168	127621
148	22339	127590
149	22495	127476
150	22650	127352
151	22814	127281
152	22972	127174
153	23132	127077
154	23276	126897
155	23432	126774
156	23601	126723
157	23761	126627
158	23924	126541
159	24069	126367
160	24226	126249
161	24381	126123
162	24532	125973
163	24689	125856
164	24861	125813
165	25016	125685
166	25164	125522
167	25315	125370
168	25466	125220
169	25632	125145
170	25794	125049
171	25950	124922
172	26107	124801
173	26255	124637
174	26415	124531
175	26575	124420
176	26727	124277
177	26879	124128
178	27037	124011
179	27196	123896
180	27352	123767
181	27514	123662
182	27667	123522
183	27830	123421
184	27982	123275
185	28133	123122
186	28283	122966
187	28438	122832
188	28596	122708
189	28747	122553
190	28894	122385
191	29048	122245
192	29198	122088
193	29353	121954
194	29500	121785
195	29656	121651
196	29815	121532
197	29965	121376
198	30118	121228
199	30281	121125
200	30431	120968
201	30581	120812
202	30733	120663
203	30885	120512
204	31035	120355
205	31196	120242
206	31355	120122
207	31510	119981
208	31666	119847
209	31822	119712
210	31981	119590
211	32133	119439
212	32278	119263
213	32447	119176
214	32608	119059
215	32764	118922
216	32924	118802
217	33075	118646
218	33228	118500
219	33382	118356
220	33529	118187
221	33673	118010
222	33823	117850
223	33975	117700
224	34125	117543
225	34291	117440
226	34447	117303
227	34601	117157
228	34756	117019
229	34914	116889
230	35074	116763
231	35226	116611
232	35380	116465
233	35535	116324
234	35696	116204
235	35847	116048
236	36004	115913
237	36161	115777
238	36307	115607
239	36459	115453
240	36606	115286
241	36757	115132
242	36907	114976
243	37062	114832
244	37218	114694
245	37377	114563
246	37542	114451
247	37694	114298
248	37849	114155
249	38009	114028
250	38169	113899
251	38341	113806
252	38492	113652
253	38646	113504
254	38804	113370
255	38961	113231
256	39310	113648
257	39473	113524
258	39624	113364
259	39767	113185
260	39914	113015
261	40068	112864
262	40214	112692
263	40367	112540
264	40522	112393
265	40681	112255
266	40831	112096
267	40978	111927
268	41134	111783
269	41298	111659
270	41449	111500
271	41593	111322
272	41743	111163
