Complexity,Loss,Equation
1,686.1193,"81.822105"
3,593.81305,"years + 76.82319"
4,434.79434,"sqrt(years * 1389.1378)"
5,94.45673,"sqrt(sqrt(years) * 3567.1992)"
6,10.1407175,"sqrt(sqrt(sqrt(years)) * 5478.754)"
7,0.39229432,"sqrt(sqrt(sqrt(sqrt(years)))) * 81.83597"
8,0.010346316,"(29.603128 / (-0.28805155 - sqrt(years))) + 102.78033"
10,0.010277578,"(2.1543548 - (-29.582748 / (-0.2878491 - sqrt(years)))) + 100.61355"
12,0.003035081,"((years * 0.06983366) + 101.785576) - (-28.05263 / (-0.27574846 - sqrt(years)))"
14,0.0025878425,"(((years - 3.2590833) * 0.074109174) + 101.9484) - (-27.913393 / (-0.2744966 - sqrt(years)))"
