Complexity,Loss,Equation
1,692.5131,"82.26259"
3,600.32025,"years + 77.26183"
4,444.48557,"sqrt(years * 1403.0205)"
5,97.908325,"sqrt(sqrt(years) * 3604.0989)"
6,11.056912,"sqrt(sqrt(sqrt(years)) * 5536.6484)"
7,0.31447572,"sqrt(sqrt(sqrt(sqrt(years)))) * 82.271126"
9,0.042023495,"years * ((-91.410675 / (-0.142172 - years)) - -0.47749203)"
11,0.042023014,"(years * ((-29.5836 / (-0.14216866 - years)) - -0.15454662)) * 3.0898864"
12,0.021680856,"(((years * -30.631138) / (-0.11715655 - years)) + sqrt(years)) * 2.8378851"
13,0.008246201,"(years * ((-89.43659 / (-0.1229711 - years)) - (years * 0.036837973))) + years"
15,0.003626612,"(years * (((-88.37134 / (-0.11220272 - years)) - (years * 0.055284906)) + 0.27113488)) + years"
